original_asiakastunnus,original_lupanumero,original_nimi,original_katuosoite,original_postinumero,original_postitoimipaikka,original_kunta,original_asiakkaan-nimi,original_alkamispaivamaara,original_paattamispaivamaara,lat,lon,formatted,name,housenumber,street,postcode,suburb,county,district,city,state,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
2676049-7,30071363,Merrycamping,Palosaarentie 67,29900,MERIKARVIA,Merikarvia,The Merry Monk Reposaari Oy,01.06.2021,,61.8488,21.4704242,"Merrry Camping shop & deli, Palosaarentie 67, 29900 Merikarvia, Suomi",Merrry Camping shop & deli,67,Palosaarentie,29900,,,Krookka,Merikarvia,Satakunta,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3169483-4,30887705,Bar Lato,Ilmarinjärventie 252,33450,SIIVIKKALA,Ylöjärvi,Hanmax Oy,29.05.2025,28.05.2026,61.5502772,23.656114847258973,"K-Market, Ilmarinjärventie 252, 33450 Ylöjärvi, Suomi",K-Market,252,Ilmarinjärventie,33450,Siivikkala,,,Ylöjärvi,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1536555-5,1009726,Kärrynpyörä baari,Pennalantie 107,16320,PENNALA,Orimattila,Kioski Myötätuuli Pennala Ky,01.03.2018,,60.8923983,25.7037889,"Myötätuuli, Pennalantie 107, 16320 Orimattila, Suomi",Myötätuuli,107,Pennalantie,16320,Pennala,,,Orimattila,Päijät-Häme,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0869447-3,1034201,Martinselkosen Eräkeskus,Pirttivaarantie 131,89920,RUHTINANSALMI,Suomussalmi,Martinselkosen Matkailu Oy,01.03.2018,,65.43000812586207,29.548006310344828,"89920 Suomussalmi, Suomi",,,,89920,,,,Suomussalmi,Kainuu,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2942083-4,1064606,Pizzeria Don Papa,Satamatie 3,53900,LAPPEENRANTA,Lappeenranta,Don Papa Oy,15.04.2019,,61.06371755,28.18606354708833,"Lappeenrannan matkustajasatama, Satamatie 3, 53900 Lappeenranta, Suomi",Lappeenrannan matkustajasatama,3,Satamatie,53900,Rapasaari,,,Lappeenranta,Etelä-Karjala,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1603876-7,1048327,Bar Kuka,Linnankatu 17,20100,TURKU,Turku,Eneros Turku Oy,01.09.2014,,60.4487949,22.2652195,"Bar Kuka, Linnankatu 17, 20100 Turku, Suomi",Bar Kuka,17,Linnankatu,20100,Keskusta,,Puolalanmäki,Turku,Varsinais-Suomi,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3413208-7,30884116,Laivaravintola Svarte Rudolf,Itäinen Rantakatu 13,20100,TURKU,Turku,AV Lines Oy,04.04.2024,,60.4478013,22.2678301,"Itäinen Rantakatu 13, 20100 Turku, Suomi",,13,Itäinen Rantakatu,20100,III,,Kaskenmäki,Turku,Varsinais-Suomi,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2932156-1,30062738,Dos Tecolotes,Hämeentie 6 LT 4,530,HELSINKI,Helsinki,Dos Tecolotes Oy,23.11.2020,,60.1808161,24.9520308,"Dos Tecolotes, Hämeentie 6, 00530 Helsinki, Suomi",Dos Tecolotes,6,Hämeentie,00530,Kallio,,Keskinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1457522-7,1057024,Restaurang Crazy Cat,Salutorget 1,64100,KRISTIINANKAUPUNKI,Kristiinankaupunki,Nopporex Oy,28.04.2017,,62.274238,21.378927,"Salutorget 1, 64100 Kristiinankaupunki, Suomi",,1,Salutorget,64100,,Pohjanmaa,Kristiinankaupunki,Kristiinankaupunki,Länsi ja Sisä-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
3408655-1,30883563,The Murju - Bistro & Bar,Koskentori 3,2880,VEIKKOLA,Kirkkonummi,Murju Oy,01.01.2024,,61.7949465,21.4851834,"Veikkola (Merikarvia), Satakunta, Suomi",,,,,,,,Merikarvia,Satakunta,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2038041-8,30886183,Chipper´s Pub,Strandvägen 1,25900,TAALINTEHDAS,Kemiönsaari,Chipper's Pub Ab,20.11.2024,,60.019315,22.510386,"Marina, Strandvägen 1, 25900 Taalintehdas, Suomi",Marina,1,Strandvägen,25900,Byholmen,Varsinais-Suomi,Kemiönsaari,Taalintehdas,Lounais-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
