asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
2887574-9,30061006,The Ö Villa  Airisto,Ruissalo 47 B,20100,TURKU,Turku,Lill & Co. Oy,19.06.2018,
3379915-4,30886895,Tyyskä,Wredenkatu 4,78250,VARKAUS,Varkaus,KOVAMENO osk,01.04.2025,
1607413-5,30883484,Puutorin Nurkka,Brahenkatu 11,20100,TURKU,Turku,Unica Oy,02.01.2024,
0700729-9,1043605,Ravintola Astor,Aleksis Kiven katu 26,33200,TAMPERE,Tampere,Ravintola Astor Oy,06.02.1987,
3416895-2,30886410,FLIP Vegan Pizza,Sammonkatu 15,33540,TAMPERE,Tampere,VEGNA Oy,21.02.2025,
1077856-1,1069347,Saltvik bed & breakfast,Kvarnbovägen 350,22430,SALTVIK,Saltvik,Saltvik Bed & Breakfast,19.08.2020,
2658548-1,1052148,Bar Taso,Hallituskatu 20,13100,HÄMEENLINNA,Hämeenlinna,Pikku-Hanni Oy,01.01.2016,
3364202-6,30885783,Samba Cafe,Hallituskatu 30 M 5,90100,OULU,Oulu,Samba Café,20.09.2024,
2311627-6,1048365,Illyrian's,Rauhankatu 16,65100,VAASA,Vaasa,Illyrian's Avoin Yhtiö,01.03.2018,
3314576-7,30887490,Dara Ravintola Rajapatsas,Imatrankoskentie 22,55100,IMATRA,Imatra,Elfani Oy,08.05.2025,07.05.2026
0873697-9,1057168,3101 Dipoli,Otakaari 24,2150,ESPOO,Espoo,Compass Group Finland Oy,01.08.2017,
3514238-3,30887605,Nepalilainen Ravintola Spice,Keskuskatu 17,48100,KOTKA,Kotka,Sathibhai Oy,19.05.2025,
3466752-4,30886227,Gulf Aavasaksa,Kilpisjärventie 644,95620,AAVASAKSA,Ylitornio,Reissurasti Oy,01.12.2024,
2760848-9,1053731,Savutuvan Apaja,Opinsaunan Kiuas 1,40800,VAAJAKOSKI,Jyväskylä,Savutuvan Apaja Oy,01.07.2016,
0870197-9,1002697,Cafe Art,Läntinen Rantakatu 5,20100,TURKU,Turku,Projektitoimisto Promonova Oy,18.09.2004,
2889775-3,1060001,Satamaravintola Laivuri,Puustellintie 4,72400,PIELAVESI,Pielavesi,Pielaveden Satama Oy,01.05.2018,
2812538-2,30887055,Pub Soihtu,Laukaantie 26,41340,LAUKAA,Laukaa,Kanniskeluravintolat Oy,04.04.2025,
3440405-4,30884463,Ahtialan Krouvi,Laitumenkatu 6,15300,LAHTI,Lahti,Ahtialan krouvi oy,20.05.2024,
2078074-5,1073877,Pizzeria Nikolai,Suomenlinna A 10,190,HELSINKI,Helsinki,TEIJON RAVINTOLAPALVELUT OY,13.04.2022,
1764340-8,30072671,Kotipizza Satama,Minna Canthin katu 4,70100,KUOPIO,Kuopio,K&R Riihola Oy,01.11.2021,
3327052-5,30882271,Karppi,Punavuorenkatu 3 ,120,HELSINKI,Helsinki,Thien Phuc Oy,15.07.2023,
2072041-9,1051690,Rauman Wanha Krouvi,Valtakatu 3,26100,RAUMA,Rauma,West Coast Seaservice Oy Ltd,18.09.2015,
0195817-3,30069231,Vermon Ravintolat,Ravitie 1,370,HELSINKI,Helsinki,Vermon Ravirata Oy,26.08.2020,
1904610-5,1046499,Kobba Café,Kobba Klintar,22150,JOMALA,Jomala,Föreningen Kobba Klintars Vänner rf,01.11.2021,
3421719-5,30884265,Ravintola Luode,Aittaranta 8,23500,UUSIKAUPUNKI,Uusikaupunki,Ravintola Luode Oy,15.05.2024,
2731916-9,1073909,Temmin tupa,Kirkonkyläntie 18,52830,SUOMENNIEMI,Mikkeli,VARA Palvelut Oy,20.05.2022,
2061127-1,1037965,ROCK ME,Kauppakaari 4,4200,KERAVA,Kerava,Khinda Oy,01.06.2011,
2323009-5,1034595,Askiston Taverna,Askistontie 1,1680,VANTAA,Vantaa,BARNUP Avoin yhtiö ,16.04.2011,
0560164-9,1005099,Vankkurimännikkö,Lakarintie 580,34800,VIRRAT,Virrat,SF-Caravan Pirkanmaa ry,01.03.2018,
0720790-1,1276032,Laitakarin Tanssilava Kahvio,Laitakarintie 333,29100,LUVIA,Eurajoki,Luvian Veto r.y.,01.03.2018,
1906688-6,30068310,Eerikkala Golf & Kievari,Eerikkalantie 19,72210,TERVO,Tervo,Sapri Oy,05.05.2020,
1604662-8,1272732,Pub Doris,Ruutintie 4,66400,LAIHIA,Laihia,Tmi Katri Välimäki,21.08.2000,
0792132-0,1024807,Kahvila-leipomo Houkutus,Torikatu 24,80100,JOENSUU,Joensuu,Pakkopulla Oy,04.01.2007,
2906384-9,1060708,Jussin Baari,Joensuuntie 33,31400,SOMERO,Somero,Jussin Baari Oy,05.06.2018,
2269512-2,1038252,Waasa Airport Cafe,Lentokentäntie 123,65380,VAASA,Vaasa,Café Farini Oy,07.06.2011,
3198605-2,30881246,Cafe NOL,Tilkantori 6 LH 1,300,HELSINKI,Helsinki,Kardas Tmi,01.05.2023,
3244084-4,1072922,Champion Lounge,Kellarikuja 1,28120,PORI,Pori,Champions Lounge Oy,03.12.2021,
2064886-7,1042616,Restaurang Axxell ,Bangatan 75,10300,KARJAA,Raasepori,Axxell Utbildning Ab,01.12.2012,
